name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,5191,5443512867,,,0,,,,-122.3053792,47.6622505,,,
,5192,5443512870,,,0,,,,-122.3053814,47.6623936,,,
,5193,5443512871,,,0,,,,-122.3054831,47.662392,,,
,5194,5443512915,,,0,,,,-122.2941529,47.6586662,,,
,5195,5443512917,,,0,,,,-122.2935372,47.6588058,,,
,5196,5444064945,,,0,,,,-122.3166554,47.6620099,,,
,5197,5444064946,,,0,,,,-122.3165555,47.6620098,,,
,5198,5444064947,,,0,,,,-122.3169285,47.6620101,,,
,5199,5457919976,,,0,,,,-122.3165799,47.6614664,,,
,5200,5457919977,,,0,,,,-122.3166859,47.6614669,,,
,5201,5457919980,,,0,,,,-122.3166781,47.6616258,,,
,5202,5457919981,,,0,,,,-122.3165743,47.6616255,,,
,5203,5457950228,,,0,,,,-122.3078337,47.6584943,,,
,5204,5457950230,,,0,,,,-122.3076963,47.6586289,,,
,5205,5487450877,,,0,,,,-122.3057548,47.6507153,,,
,5206,5487450878,,,0,,,,-122.3055657,47.6507542,,,
,5207,5487450886,,,0,,,,-122.3056802,47.6506646,,,
,5208,5487450887,,,0,,,,-122.3055457,47.6506909,,,
,5209,5487451678,,,0,,,,-122.3061166,47.6517649,,,
,5210,5487451679,,,0,,,,-122.3065338,47.6516353,,,
,5211,5487451924,,,0,,,,-122.3028525,47.6481494,,,
,5212,5487451948,,,0,,,,-122.3039645,47.6502414,,,
,5213,5487451950,,,0,,,,-122.3043175,47.6492473,,,
,5214,5487451955,,,0,,,,-122.303231,47.6495245,,,
,5215,5487451978,,,0,,,,-122.3086593,47.6490419,,,
,5216,5506817999,,,0,,,,-122.2923917,47.6620393,,,
,5217,5506818000,,,0,,,,-122.2929608,47.6616391,,,
,5218,5519664390,,,0,,,,-122.2877046,47.6577537,,,
,5219,5530117228,,,0,,,,-122.3031724,47.6592217,,,
,5220,5530117235,,,0,,,,-122.3033846,47.6589954,,,
,5221,5530117236,,,0,,,,-122.3033837,47.6587997,,,
,5222,5530396860,,,0,,,,-122.3197814,47.6610104,,,
,5223,5575398835,,,0,,,,-122.3008439,47.6496049,,,
,5224,5618634517,,,0,,,,-122.3027926,47.6488519,,,
,5225,5618661723,,,0,,,,-122.303035,47.6488534,,,
,5226,5618661724,,,0,,,,-122.3012112,47.6490246,,,
,5227,5618661725,,,0,,,,-122.3008056,47.6484999,,,
,5228,5618661729,,,0,,,,-122.3008284,47.6486736,,,
,5229,5620791842,crossing,,0,,,,-122.2978665,47.6614691,,,
,5230,5620791843,,,0,,,,-122.2978988,47.6614701,,,
,5231,5625527643,,,0,,,,-122.2871276,47.6615557,,,
,5232,5625527648,,,0,,,,-122.2870938,47.6612092,,,
,5233,5625527649,,,0,,,,-122.2871736,47.6611971,,,
,5234,5625527650,,,0,,,,-122.2872939,47.6611845,,,
,5235,5625527651,,,0,,,,-122.2872999,47.6612409,,,
,5236,5625527652,,,0,,,,-122.2873161,47.6613464,,,
,5237,5625527653,,,0,,,,-122.2873512,47.6614781,,,
,5238,5625527658,,,0,,,,-122.2881509,47.6606742,,,
,5239,5625527659,,,0,,,,-122.2881401,47.6608408,,,
,5240,5625527661,,,0,,,,-122.2878498,47.661104,,,
,5241,5625527663,,,0,,,,-122.2868044,47.6613787,,,
,5242,5631597986,,,0,,,,-122.31741,47.6479651,,,
,5243,5644706391,,,0,,,,-122.300438,47.6540889,,,
,5244,5644709987,,,0,,,,-122.3025284,47.6573871,,,
,5245,5644709988,,,0,,,,-122.3025359,47.6574725,,,
,5246,5644709990,,,0,,,,-122.3025573,47.6577665,,,
,5247,5644714582,,,0,,,,-122.3012806,47.6543852,,,
,5248,5644714583,,,0,,,,-122.301755,47.6550313,,,
,5249,5644714584,,,0,,,,-122.3017464,47.65503,,,
,5250,5644714587,,,0,,,,-122.2997937,47.6552897,,,
,5251,5644714588,,,0,,,,-122.3009467,47.6554473,,,
,5252,5644718070,,,0,,,,-122.3018625,47.6546445,,,
,5253,5644719095,,,0,,,,-122.3020774,47.6543954,,,
,5254,5644719096,,,0,,,,-122.3013872,47.6543107,,,
,5255,5644719097,,,0,,,,-122.3014086,47.6542095,,,
,5256,5644719098,,,0,,,,-122.3000715,47.6540217,,,
,5257,5644719270,,,0,,,,-122.3006492,47.6525594,,,
,5258,5644719279,,,0,,,,-122.3010114,47.6518514,,,
,5259,5644719280,,,0,,,,-122.3009789,47.6519382,,,
,5260,5644719281,,,0,,,,-122.300755,47.652221,,,
,5261,5644719282,,,0,,,,-122.3007021,47.6523677,,,
,5262,5644719863,,,0,,,,-122.3027193,47.6566856,,,
