name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,9753,607244103,1737,5532,,1.8612439238671603,1,4,,footway,9,"LINESTRING (-122.3183744 47.6544373, -122.3183817 47.6544213)",walk,0
,9754,607244103,5532,1731,,5.907747107448032,1,4,,footway,9,"LINESTRING (-122.3183817 47.6544213, -122.3184048 47.6543705)",walk,0
,9755,607244103,1731,5539,,0.9794523850843713,1,4,,footway,9,"LINESTRING (-122.3184048 47.6543705, -122.3183928 47.654367)",walk,0
,9756,607244104,5539,1730,,10.90721142476133,1,4,,footway,9,"LINESTRING (-122.3183928 47.654367, -122.3182543 47.6543367)",walk,0
,9757,607244105,6213,6218,,21.016315347496892,1,4,,footway,9,"LINESTRING (-122.3163799 47.6547728, -122.3166147 47.6548276, -122.3166457 47.6548332)",walk,0
,9758,607244105,6218,5521,,6.242867066938231,1,4,,footway,9,"LINESTRING (-122.3166457 47.6548332, -122.3167263 47.6548475)",walk,0
,9759,607244105,5521,5504,,5.5581841976824204,1,4,,footway,9,"LINESTRING (-122.3167263 47.6548475, -122.3167964 47.6548639)",walk,0
,9760,607244105,5504,6217,,5.753138456316411,1,4,,footway,9,"LINESTRING (-122.3167964 47.6548639, -122.3168692 47.6548804)",walk,0
,9761,607244105,6217,6212,,109.90340451282827,1,4,,footway,9,"LINESTRING (-122.3168692 47.6548804, -122.3174516 47.655012, -122.3176789 47.6550572, -122.3182289 47.6551852, -122.3182582 47.6551734)",walk,0
,9762,607244107,3285,5507,,6.71386615937544,1,4,,footway,9,"LINESTRING (-122.3156926 47.6547262, -122.315671 47.6546676)",bike;walk,0
,9763,607244108,5491,5494,,21.186817098814846,1,4,,footway,9,"LINESTRING (-122.3172717 47.6539397, -122.3175409 47.6539982)",walk,0
,9764,607244110,5490,3878,,4.713176441504064,1,4,,footway,9,"LINESTRING (-122.3182935 47.6542558, -122.318313 47.6542155)",walk,0
,9765,607244110,3878,1135,,7.110249500826593,1,4,,footway,9,"LINESTRING (-122.318313 47.6542155, -122.3183424 47.6541547)",walk,0
,9766,607244111,6564,5542,,0.508265439389737,1,4,,footway,9,"LINESTRING (-122.3157045 47.6553187, -122.3157015 47.6553146)",walk,0
,9767,607244111,5542,5509,,60.01587428138222,1,4,,footway,9,"LINESTRING (-122.3157015 47.6553146, -122.3157028 47.6551452, -122.3157122 47.6547897, -122.3157256 47.654778)",walk,0
,9768,607244111,5509,5551,,14.060714249124306,1,4,,footway,9,"LINESTRING (-122.3157256 47.654778, -122.3157826 47.6547581, -122.3158651 47.6547712, -122.3159017 47.6547798)",walk,0
,9769,607244111,5551,5546,,17.19650038185679,1,4,,footway,9,"LINESTRING (-122.3159017 47.6547798, -122.3161185 47.6548307)",walk,0
,9770,607244111,5546,5554,,7.773017109781342,1,4,,footway,9,"LINESTRING (-122.3161185 47.6548307, -122.3162165 47.6548537)",walk,0
,9771,607244111,5554,5513,,9.41639623500533,1,4,,footway,9,"LINESTRING (-122.3162165 47.6548537, -122.3163352 47.6548816)",walk,0
,9772,607244111,5513,5501,,19.503494277721824,1,4,,footway,9,"LINESTRING (-122.3163352 47.6548816, -122.3165811 47.6549393)",walk,0
,9773,607244112,3284,1517,,5.103193266959486,1,4,,footway,9,"LINESTRING (-122.316585 47.6549305, -122.3166128 47.6548886)",walk,0
,9774,607244112,1517,3282,,1.9874240316987264,1,4,,footway,9,"LINESTRING (-122.3166128 47.6548886, -122.316623 47.6548721)",walk,0
,9775,607244113,1220,731,,24.848198179115236,1,4,,footway,9,"LINESTRING (-122.3156779 47.6546594, -122.3159737 47.6546294, -122.3160001 47.6546165)",bike;walk,0
,9776,607244115,5495,5487,,4.753483159441914,1,4,,footway,9,"LINESTRING (-122.3156874 47.6553209, -122.3156242 47.655317)",walk,0
,9777,607244115,5487,5556,,3.9716911242403996,1,4,,footway,9,"LINESTRING (-122.3156242 47.655317, -122.3155714 47.6553137)",walk,0
,9778,607244116,3282,6218,,4.6476456290347254,1,4,,footway,9,"LINESTRING (-122.316623 47.6548721, -122.3166457 47.6548332)",walk,0
,9779,607244118,5528,5514,,0.8222104182948945,1,4,,footway,9,"LINESTRING (-122.3178325 47.653997, -122.317835 47.6539898)",walk,0
,9780,607244118,5514,3879,,4.773151561323795,1,4,,footway,9,"LINESTRING (-122.317835 47.6539898, -122.3178495 47.653948)",walk,0
,9781,607244119,5531,2257,,6.911240972722145,1,4,,footway,9,"LINESTRING (-122.3172671 47.6538281, -122.3172494 47.6537671)",walk,0
,9782,607244120,5536,1124,,0.9509162094065529,1,4,,footway,9,"LINESTRING (-122.3181557 47.6550205, -122.3181496 47.655028)",walk,0
,9783,607244121,5534,5537,,17.38385347605202,1,4,,footway,9,"LINESTRING (-122.3178024 47.6541268, -122.3180223 47.6541768)",walk,0
,9784,607244121,5537,5511,,22.83731675997723,1,4,,footway,9,"LINESTRING (-122.3180223 47.6541768, -122.3180451 47.6541827, -122.3181114 47.6541994, -122.3182802 47.6542832)",walk,0
,9785,607244122,5523,3285,,4.489310694402376,1,4,,footway,9,"LINESTRING (-122.315712 47.6547644, -122.3156926 47.6547262)",walk,0
,9786,607244124,5497,5519,,1.3233531584535034,1,4,,footway,9,"LINESTRING (-122.3184936 47.6543645, -122.3185081 47.6543713)",walk,0
