node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
11885,-122.33395,47.64847,1230,1,,0
11886,-122.33395,47.6484,1230,1,,0
11887,-122.33395,47.64834,1230,1,,0
11888,-122.33396,47.64828,1230,1,,0
11889,-122.33396,47.6482,1230,1,,0
11890,-122.33386,47.64874,1231,1,residential,0
11891,-122.33385,47.6488,1231,1,,0
11892,-122.33385,47.64886,1231,1,,0
11893,-122.33385,47.64892,1231,1,,0
11894,-122.33385,47.64899,1231,1,,0
11895,-122.33385,47.64905,1231,1,,0
11896,-122.33394,47.64905,1232,1,residential,0
11897,-122.33394,47.64898,1232,1,,0
11898,-122.33395,47.64892,1232,1,,0
11899,-122.33395,47.64886,1232,1,,0
11900,-122.33395,47.64879,1232,1,,0
11901,-122.33395,47.64874,1232,1,,0
11902,-122.33385,47.64913,1233,1,residential,0
11903,-122.33385,47.64918,1233,1,,0
11904,-122.33394,47.64918,1234,1,residential,0
11905,-122.33394,47.64913,1234,1,,0
11906,-122.33921,47.65314,1235,1,residential,0
11907,-122.33912,47.65314,1235,1,,0
11908,-122.33903,47.65314,1235,1,,0
11909,-122.33893,47.65314,1235,1,,0
11910,-122.33884,47.65314,1235,1,,0
11911,-122.33879,47.65314,1235,1,,0
11912,-122.33879,47.6532,1236,1,residential,0
11913,-122.33888,47.6532,1236,1,,0
11914,-122.33897,47.6532,1236,1,,0
11915,-122.33907,47.6532,1236,1,,0
11916,-122.33916,47.6532,1236,1,,0
11917,-122.33921,47.6532,1236,1,,0
11918,-122.33361,47.6626,1237,1,tertiary,0
11919,-122.33352,47.6626,1237,1,,0
11920,-122.33343,47.6626,1237,1,,0
11921,-122.33333,47.6626,1237,1,,0
11922,-122.33324,47.6626,1237,1,,0
11923,-122.33315,47.6626,1237,1,,0
11924,-122.33305,47.66259,1237,1,,0
11925,-122.33296,47.66259,1237,1,,0
11926,-122.33287,47.66259,1237,1,,0
11927,-122.33277,47.66259,1237,1,,0
11928,-122.33264,47.66259,1237,1,,0
11929,-122.33264,47.66266,1238,1,residential,0
11930,-122.33273,47.66266,1238,1,,0
11931,-122.33283,47.66266,1238,1,,0
11932,-122.33292,47.66266,1238,1,,0
11933,-122.33301,47.66266,1238,1,,0
11934,-122.33311,47.66266,1238,1,,0
11935,-122.3332,47.66266,1238,1,,0
11936,-122.33329,47.66266,1238,1,,0
11937,-122.33339,47.66266,1238,1,,0
11938,-122.33348,47.66266,1238,1,,0
11939,-122.33361,47.66266,1238,1,,0
11940,-122.33243,47.66259,1239,1,residential,0
11941,-122.33234,47.66259,1239,1,,0
11942,-122.33224,47.66259,1239,1,,0
11943,-122.33215,47.66259,1239,1,,0
11944,-122.33206,47.66259,1239,1,,0
11945,-122.33196,47.66259,1239,1,,0
11946,-122.33187,47.66259,1239,1,,0
11947,-122.33178,47.66259,1239,1,,0
11948,-122.33168,47.66259,1239,1,,0
11949,-122.33159,47.66258,1239,1,,0
11950,-122.33146,47.66258,1239,1,,0
11951,-122.33146,47.66265,1240,1,residential,0
11952,-122.33155,47.66265,1240,1,,0
11953,-122.33165,47.66265,1240,1,,0
11954,-122.33174,47.66265,1240,1,,0
11955,-122.33183,47.66265,1240,1,,0
11956,-122.33193,47.66265,1240,1,,0
11957,-122.33202,47.66265,1240,1,,0
11958,-122.33211,47.66265,1240,1,,0
11959,-122.33221,47.66265,1240,1,,0
11960,-122.3323,47.66265,1240,1,,0
11961,-122.33243,47.66265,1240,1,,0
11962,-122.33125,47.66258,1241,1,residential,0
11963,-122.33115,47.66258,1241,1,,0
11964,-122.33106,47.66258,1241,1,,0
11965,-122.33097,47.66258,1241,1,,0
11966,-122.33087,47.66258,1241,1,,0
11967,-122.33078,47.66259,1241,1,,0
11968,-122.33069,47.66259,1241,1,,0
11969,-122.33059,47.66259,1241,1,,0
11970,-122.3305,47.66259,1241,1,,0
11971,-122.33041,47.66259,1241,1,,0
11972,-122.33032,47.66259,1241,1,,0
11973,-122.33027,47.66259,1241,1,,0
11974,-122.33027,47.66265,1242,1,residential,0
11975,-122.33036,47.66265,1242,1,,0
11976,-122.33045,47.66265,1242,1,,0
11977,-122.33055,47.66265,1242,1,,0
